config,config_label,method,unit,module,n_runs,runs,minutes_mean,usd_mean,tool_calls_mean,shared
C3,csloop opus-5,apportioned,BDK/FFPMccTtilde,BDK,1,R5,2.5307,0.7990,5.4000,True
C3,csloop opus-5,apportioned,BDK/FFPMscT,BDK,1,R5,2.5307,0.7990,5.4000,True
C3,csloop opus-5,apportioned,BDK/fvs,BDK,1,R5,3.4681,1.0949,7.4000,True
C3,csloop opus-5,apportioned,Mods/mod_qcdloop_c,Mods,2,R4 R5,2.7808,0.9349,6.3750,False
C3,csloop opus-5,apportioned,Mods/pp_mod,Mods,3,R4 R5 R6,3.5547,1.2165,8.0833,True
C3,csloop opus-5,apportioned,Mods/ppwp2j_mod,Mods,3,R4 R5 R6,2.5484,0.8662,5.7500,True
C3,csloop opus-5,apportioned,Mods/types_mod,Mods,2,R4 R5,2.3452,0.7882,5.3750,False
C3,csloop opus-5,apportioned,W2jet/A6texact,W2jet,1,R4,2.0122,0.7264,5.0000,False
C3,csloop opus-5,apportioned,W2jet/Acalc,W2jet,2,R4 R6,2.7117,0.9549,6.2833,False
C3,csloop opus-5,apportioned,W2jet/Ftexact,W2jet,1,R4,2.4818,0.8959,6.1667,False
C3,csloop opus-5,apportioned,W2jet/LRcalc,W2jet,1,R6,2.5392,0.8686,5.4000,False
C3,csloop opus-5,apportioned,W2jet/ZZbox1LL,W2jet,2,R4 R6,2.6828,0.9496,6.3083,True
C3,csloop opus-5,apportioned,W2jet/a6routine,W2jet,2,R4 R6,2.5875,0.9048,5.8750,False
C3,csloop opus-5,apportioned,W2jet/a6treeg,W2jet,3,R4 R5 R6,2.8214,0.9607,6.3278,True
C3,csloop opus-5,apportioned,W2jet/atree,W2jet,3,R4 R5 R6,4.7538,1.6225,10.6889,True
C3,csloop opus-5,apportioned,W2jet/fpp,W2jet,1,R6,2.5392,0.8686,5.4000,False
C3,csloop opus-5,apportioned,W2jet/fvf,W2jet,3,R4 R5 R6,3.7597,1.2652,8.3278,False
C3,csloop opus-5,apportioned,W2jet/ggZZcapture,W2jet,2,R4 R5,2.4929,0.8447,5.7667,True
C3,csloop opus-5,apportioned,W2jet/subqcd,W2jet,3,R4 R5 R6,3.8536,1.3041,8.6556,True
C3,csloop opus-5,apportioned,W2jet/vv,W2jet,1,R6,2.5392,0.8686,5.4000,False
C3,csloop opus-5,apportioned,W2jet/w2jetsq,W2jet,1,R4,2.4818,0.8959,6.1667,False
C4,csloop sonnet-5,apportioned,Mods/pp_mod,Mods,2,R7 R8,19.9494,3.4843,37.0000,True
C4,csloop sonnet-5,apportioned,Mods/ppwp2j_mod,Mods,2,R7 R8,14.6009,2.5625,28.0000,True
C5,csloop gpt-5.6,apportioned,BDK/FFMPcc,BDK,1,R11,3.1196,0.8355,13.5333,True
C5,csloop gpt-5.6,apportioned,BDK/FFPMccT,BDK,1,R11,3.1196,0.8355,13.5333,True
C5,csloop gpt-5.6,apportioned,BDK/FFPMccTtilde,BDK,1,R11,2.5818,0.6915,11.2000,True
C5,csloop gpt-5.6,apportioned,BDK/FFPMscT,BDK,1,R11,4.0417,1.0825,17.5333,True
C5,csloop gpt-5.6,apportioned,BDK/fvs,BDK,1,R11,4.4259,1.1854,19.2000,True
C5,csloop gpt-5.6,apportioned,Mods/Modules_Interface,Mods,1,R10,1.8781,0.7097,9.2500,False
C5,csloop gpt-5.6,apportioned,Mods/mod_qcdloop_c,Mods,1,R10,1.2690,0.4795,6.2500,False
C5,csloop gpt-5.6,apportioned,Mods/pp_mod,Mods,1,R10,2.6902,1.0166,13.2500,True
C5,csloop gpt-5.6,apportioned,Mods/ppwp2j_mod,Mods,1,R10,2.6902,1.0166,13.2500,True
C5,csloop gpt-5.6,apportioned,Mods/types_mod,Mods,3,R9 R10 R11,4.1494,1.2825,17.3333,False
C5,csloop gpt-5.6,apportioned,W2jet/ZZbox1LL,W2jet,2,R10 R11,2.7264,0.8688,12.5667,True
C5,csloop gpt-5.6,apportioned,W2jet/a6routine,W2jet,2,R10 R11,2.8170,0.8818,12.9000,False
C5,csloop gpt-5.6,apportioned,W2jet/a6treeg,W2jet,3,R9 R10 R11,3.2083,1.0237,13.6278,True
C5,csloop gpt-5.6,apportioned,W2jet/atree,W2jet,3,R9 R10 R11,4.3709,1.3052,17.4056,True
C5,csloop gpt-5.6,apportioned,W2jet/ggZZcapture,W2jet,3,R9 R10 R11,3.2239,0.9923,12.9611,True
C5,csloop gpt-5.6,apportioned,W2jet/subqcd,W2jet,1,R9,2.9669,0.8695,10.0833,True
